Time_Hours,Noisy_Temperature
0.0,25.74507122951685
1.0,25.32458679070243
2.0,27.000222993579364
3.0,28.741793331428575
4.0,26.4382001737063
5.0,26.652369616845462
6.0,29.45488600404026
7.0,28.183413199728722
8.0,26.142590528224105
9.0,27.357145828887706
10.0,25.448305500891546
11.0,24.976814158294776
12.0,25.53505146546278
13.0,21.79888554390848
14.0,21.61340166063083
15.0,22.957466308788096
16.0,21.978144661918545
17.0,23.78329059265099
18.0,21.896062222834452
19.0,21.222116096816823
20.0,25.753168370080708
21.0,23.548188373726063
22.0,24.416676578238953
23.0,22.67493919002078
24.0,24.527438047223825
25.0,26.042343851561835
26.0,24.6461383039652
27.0,27.364692986058916
28.0,26.232325709949635
29.0,26.90984120354903
30.0,26.527264075343137
31.0,30.15438320302232
32.0,27.17020586847509
33.0,25.30033091802524
34.0,27.720780077487024
35.0,24.187610276465193
36.0,25.828803879744306
37.0,22.0726317939008
38.0,22.551758218500748
39.0,24.439373327039068
40.0,24.94819724626946
41.0,23.91199738844277
42.0,23.427567800914403
43.0,23.231771686421453
44.0,21.679678682572792
45.0,23.149761012297745
46.0,23.967005843535045
47.0,26.740226945876156
48.0,26.201821294919014
49.0,23.573678231590826
50.0,27.200927075496878
51.0,26.565586126347988
52.0,26.459852654280954
53.0,28.606733678165526
54.0,29.318043387065334
55.0,29.114486094717545
56.0,26.273102478852543
57.0,26.764430063288856
58.0,27.32508061976319
59.0,27.82328484442499
60.0,25.137704364139456
61.0,25.074468773206206
62.0,23.225215308720337
63.0,22.69030943013371
64.0,25.39967861493784
65.0,26.029549324744355
66.0,23.83311836684572
67.0,25.528666111423938
68.0,24.77969865237477
69.0,23.6014712546871
70.0,25.539518789406614
71.0,27.80089486265395
72.0,25.97178344067817
73.0,28.904162028014845
74.0,23.123968195727624
75.0,28.714671896134913
76.0,27.944235924632064
77.0,27.5789561759417
78.0,28.24724872982408
79.0,25.074088728084895
80.0,27.54010705693876
81.0,28.10141077079378
82.0,29.382324209656293
83.0,25.91966110322676
84.0,24.98062342568997
85.0,24.937015841046918
86.0,26.594308402155285
